title,agency,career_level,salary_range_from,salary_range_to
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Quality Assurance Specialist for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),40667,46767
CLIENT ADVOCATE,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Coordinator for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),60000,70000
FLOOR SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Senior Advisor to the VP for Public Safety and Security,NYC HOUSING AUTHORITY,Experienced (non-manager),64749,134280
Machinist,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,37.28,43.4
PEOPLESOFT TECHNO-FUNCTIONAL ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),115000,130000
Public Health Advisor II- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Investigative Engineer,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,80000
Phlebotomist- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),49033,54265
Senior Design Reviewer (Sustainability),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,105000
DOE BUSINESS ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),75000,95000
Procurement Analyst,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),41395,65000
Senior Grants Coordinator- Bureau of Finance- Administration and Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),65775,85000
TEAM LEADER,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),90114,122168
Deputy Bureau Chief - Chief of Crime Strategies Unit,BRONX DISTRICT ATTORNEY,Manager,170000,182000
Recruitment and DEI Policy Coordinator,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),74710,80568
Arraignment Clerk - Complaint Room/DAT/Arraignments Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),37398,37398
Procurement Analyst 2,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),50972,82730
PROJECT DEVELOPMENT COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,83981
SNAP FH ELIGIBILITY COMPLIANCE SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Clerical Support for the Division of Code Enforcement,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),41887,48170
Associate Investigator II (Per-Diem),DEPARTMENT FOR THE AGING,Experienced (non-manager),60132,69152
Analyst- Procurement Operations (Construction),MAYORS OFFICE OF CONTRACT SVCS,Entry-Level,50000,55000
Learning and Training Development Specialist,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),58695,80000
Asbestos Enforcement Inspector,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51535,59265
Assistant Commissioner- HMD,DEPARTMENT OF CORRECTION,Executive,150000,165000
Asset Management Planning Section Chief,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Site Administrator Supervisor,DEPT OF PARKS & RECREATION,Experienced (non-manager),95000,100000
BRONX PLANNING TEAM LEAD URBAN DESIGNER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),74041,85147
PARALEGAL - FAMILY COURT JD,LAW DEPARTMENT,Experienced (non-manager),43197,49677
PARALEGAL - FAMILY COURT JD,LAW DEPARTMENT,Experienced (non-manager),43197,49677
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53702,148745
Steam Fitterâs Helper,DEPT OF PARKS & RECREATION,Experienced (non-manager),84279.51,84279.51
Steam Fitterâs Helper,DEPT OF PARKS & RECREATION,Experienced (non-manager),84279.51,84279.51
Clinic Manager- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58695,77000
Family Support Coordinator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),38333,60000
Helpdesk Analyst,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),60193,90704
Agency Attorney Level III,FIRE DEPARTMENT,Experienced (non-manager),79620,117541
Mechanical Engineer,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),95000,103631
Clerical Support for the Division of Emergency Operations (EOD),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),39763,45728
Executive Office Manager,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),29739,128280
Associate Project Manager,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),74650,85847
Security Architect,DEPARTMENT OF TRANSPORTATION,Entry-Level,0,150000
Scheduler,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47418,69462
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Associate Director of Virology Section- Bureau of the Public Health Laboratory,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58700,175000
Plumber's Helper,NYC HOUSING AUTHORITY,Experienced (non-manager),36.95,36.95
Deputy Comptroller- Public Finance,OFFICE OF THE COMPTROLLER,Manager,195000,215000
Equity & Strategic Planning Coordinator- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),64140,70000
Coordinator of Public Space Programming,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Initiative Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,91768
Solution Architect,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),100000,180000
College Aide Intern 2023,DEPARTMENT OF TRANSPORTATION,Student,15.5,19.9
Supervising Analyst / Unit Head  Policy and Operations Research,OFFICE OF MANAGEMENT & BUDGET,Manager,83399,103307
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
City Planner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),65208,95993
AUDIT STAFF,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56013,64415
Internal Auditor (Analyst / Senior Analyst),OFFICE OF MANAGEMENT & BUDGET,Entry-Level,65604,73806
OFFICE OF BUDGET ADMINISTRATION- REVENUE ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
.NET Programmer/Analyst for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),103736,113736
EXECUTIVE REGIONAL MANAGER,HRA/DEPT OF SOCIAL SERVICES,Manager,135000,170000
Senior Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),43929,57093
SUPERVISOR CARPENTER,NYC HOUSING AUTHORITY,Experienced (non-manager),56.8,56.8
Child Protective Manager,ADMIN FOR CHILDREN'S SVCS,Manager,58700,102226
PROJECT DIRECTOR/TECHNICAL TEAM LEAD,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,113736
Senior Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),43929,57093
DEPUTY Director of Program Performance,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),54990,100812
DIRECTOR OF CAPITAL PLANNING,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),120000,130000
Principal Administrative Associate II,POLICE DEPARTMENT,Experienced (non-manager),53057,77124
Assistant Borough Chief-Family Court-Brooklyn,LAW DEPARTMENT,Experienced (non-manager),90000,153666
Watershed Maintainer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,43532,63673
Claim Specialist- Level II- Property Damage,OFFICE OF THE COMPTROLLER,Experienced (non-manager),51079,58741
Deputy Agency Chief Contracting Officer,DEPT OF YOUTH & COMM DEV SRVS,Manager,80931,208826
Business Management Analyst (Operations),TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),54990,100812
Analyst  Health + Hospitals / Medicaid,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Account Adjustment Adjuster,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),43365,57539
Group Head- Alternative Investments Middle and Back Office Support,OFFICE OF THE COMPTROLLER,Manager,110000,130000
Director of Planning & Procurement,DEPT OF ENVIRONMENT PROTECTION,Executive,80931,208826
Fleet Inspector,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),298.24,347.2
Senior Staff Engineer- Mechanical,OFFICE OF THE COMPTROLLER,Manager,102000,116000
Economist,NYC HOUSING AUTHORITY,Experienced (non-manager),56013,84862
Assistant Director- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60437,77435
HELP DESK LEVEL 1 REPRESENTATIVE,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),38333,63794
SUPERVISOR CARPENTER,NYC HOUSING AUTHORITY,Experienced (non-manager),56.8,56.8
Over Dimensional Vehicle Router,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Civil Engineer 2,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80557,111917
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
Salesforce Solution Architect,FIRE DEPARTMENT,Experienced (non-manager),75000,140000
Deputy General Counsel,HUMAN RIGHTS COMMISSION,Manager,58700,120275
Director- Continuing Care- Bureau of Healthcare and Community Readiness,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),63952,105000
PARALEGAL (PART-TIME) - ICSU,LAW DEPARTMENT,Experienced (non-manager),23.6437,27.1905
Payroll & Timekeeping Associate,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,62820
Director of Capital Finance,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),94715,136260
School Mental Health Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60132,75000
Assistant Mechanical Engineer (HVAC),DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),60554,90861
Senior Writer,NYC HOUSING AUTHORITY,Experienced (non-manager),84451,105000
EXCESS INCOME SURPLUS - SECTION SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Engineering Technician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),42114,48431
Senior Design Reviewer (Architectural),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,105000
Collections Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74650,109409
SENIOR PROJECT LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),85371,98177
Assistant to the Deputy Chief of Administration,LAW DEPARTMENT,Experienced (non-manager),46535,58989
Supervising Analyst   INTERFUND AGREEMENTS,OFFICE OF MANAGEMENT & BUDGET,Experienced (non-manager),73806,83399
Administrative Assistant,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),51209,60000
Community Mental Health Monitor- Bureau of Mental Health/Assisted Outpatient Treatment Program,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51079,64000
AGENCY ATTORNEY 03,NYC HOUSING AUTHORITY,Experienced (non-manager),79620,117000
Assistant Commissioner,DEPT OF DESIGN & CONSTRUCTION,Manager,72038,163598
Administrative Assistant- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53057,65000
Facility Program Coordinator- RNDC,DEPARTMENT OF CORRECTION,Experienced (non-manager),54100,62215
College Aide-Architect Intern,DEPARTMENT OF TRANSPORTATION,Student,17,21.98
Maintenance Worker,NYC HOUSING AUTHORITY,Experienced (non-manager),29.98,31.16
Assistant Director,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70611,105138
Instrumentation Specialist III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),79326,81319
Operations Analyst  Executive,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
ASSISTANT PROJECT MANAGER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),64140,70554
Project Manager,DEPARTMENT OF TRANSPORTATION,Entry-Level,51413,62260
Senior Analyst (Project Controls),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,77868
Assistant Commissioner- Health Affairs,DEPARTMENT OF CORRECTION,Manager,150000,165000
Mobile Unit Recreation Specialist,DEPT OF PARKS & RECREATION,Entry-Level,21.65,21.65
Principal Accountant Investigator: Investigations Division,BRONX DISTRICT ATTORNEY,Experienced (non-manager),85000,85000
Equal Employment Opportunity (EEO) Investigator,BRONX DISTRICT ATTORNEY,Experienced (non-manager),75000,75000
Assistant General Counsel,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),63228,96526
Chief of Personnel,LAW DEPARTMENT,Experienced (non-manager),125000,125000
Crime Analyst - Crime Strategies Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),54786,54786
Resiliency Project Manager,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,64140,77609
Traffic Device Maintainer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51317,67044
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Congenital Prevention First Line Supervisor- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),59301,72000
ADA - Senior Homicide Counsel,BRONX DISTRICT ATTORNEY,Experienced (non-manager),0,180000
Executive Director of Budget Management and Planning,DEPARTMENT OF SANITATION,Manager,80931,208826
Deputy Director of Application Development,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),100000,180000
Project Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),52931,77517
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
Assistant Corporation Counsel - Family Court,LAW DEPARTMENT,Experienced (non-manager),75121,133040
CBO Liaison- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),38333,63794
Budget Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),74710,100812
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
DIRECTOR OF ACCOUNTABILITY SYSTEMS,HRA/DEPT OF SOCIAL SERVICES,Manager,63301,120510
Technology Project Management Analyst,DEPARTMENT OF TRANSPORTATION,Student,15.5,19.9
Fire Medical Officer,FIRE DEPARTMENT,Experienced (non-manager),130201,153476
Facility Fire Response Coordinator,DEPARTMENT OF CORRECTION,Manager,125000,135000
EXECUTIVE DIRECTOR- OFFICE OF REGULATORY COMPLIANCE AND ACCO (ORCA),HRA/DEPT OF SOCIAL SERVICES,Executive,72038,130000
CERTIFIED IT ADMINISTRATOR (LAN/WAN)- LEVEL III,POLICE DEPARTMENT,Experienced (non-manager),92194,130372
PC BANK FACILITATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51715,51715
Coordinator for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),60000,70000
Public Health Advisor- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Facility and Security Coordinator (Special Ed. Unit),ADMIN TRIALS AND HEARINGS,Experienced (non-manager),47418,54531
HR Coordinator,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
Applications Developer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),81951,111330
Investigator,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,50000
STATIONARY ENGINEER,DEPARTMENT OF CORRECTION,Experienced (non-manager),508.8,508.8
Data Scientist,DEPT OF PARKS & RECREATION,Experienced (non-manager),95000,105000
Machinist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),298.24,347.2
Web Developer,OFFICE OF THE COMPTROLLER,Experienced (non-manager),80000,100000
Senior Compliance Analyst,OFFICE OF THE COMPTROLLER,Manager,85000,95000
Data Analytics Specialist,DEPT OF PARKS & RECREATION,Experienced (non-manager),75000,85000
Assistant Electrical Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),60554,90861
Asthma Counseling Specialist,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60132,79000
Aquatics Field Facilitator,DEPT OF PARKS & RECREATION,Experienced (non-manager),45523,52351
Aquatics Field Facilitator,DEPT OF PARKS & RECREATION,Experienced (non-manager),45523,52351
Motor Vehicle Supervisor I- Bureau of Facilities Planning and Administrative Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),50414,57976
Financial Management Systems Developer,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),0,75000
Investigative Attorney,OFFICE OF THE COMPTROLLER,Experienced (non-manager),80000,90000
Clerk (Officewide),DISTRICT ATTORNEY KINGS COUNTY,Entry-Level,40866,40866
COMPUTER ASSOC. (SOFTWARE),DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),66597,92323
UI/UX DESIGNER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75000,120000
SQL ARCHITECT,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),120000,132000
Analyst  ACS,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Program Manager- Energy Utility Audits,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),84468,97138
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
Exterminator,DEPARTMENT OF CORRECTION,Experienced (non-manager),37504,37504
DEPUTY DIRECTOR,NYC HOUSING AUTHORITY,Manager,72038,192152
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
Analyst  POLICE,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,65604,83399
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
Supervising Analyst / Unit Head  Policy and Operations Research,OFFICE OF MANAGEMENT & BUDGET,Manager,83399,103307
POLICY AND RESEARCH ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,68048
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
Auto Mechanic (Diesel),DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),298.24,347.2
Pharmacy Technician- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45137,51907
Director of Infrastructure & Operations - IT Division,LAW DEPARTMENT,Experienced (non-manager),58700,173486
Public Health Adviser- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),50027,57531
Communications Director,LAW DEPARTMENT,Manager,192152,192152
EHS/CRM Information Systems Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75000,160000
Public Health Inspector- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
Analyst  Closeout,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Division Chief of Engineering,DEPT OF ENVIRONMENT PROTECTION,Manager,72038,192152
IT Project Coordinator for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),92194,106023
QI Liaison Support,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),73027,98484
PROCUREMENT PROJECT SCHEDULER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,100000
PROCUREMENT PROJECT SCHEDULER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,100000
Sr. Payment Analyst,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58700,173486
Intern/Cares Coordinator,DEPARTMENT OF PROBATION,Student,15,17.5
Data Analyst,DEPARTMENT FOR THE AGING,Experienced (non-manager),81951,94244
Program Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),82506,94882
Senior Policy Advisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56972,155020
Clinical Social Worker- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70488,75000
Identification Investigator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),76872,76872
Associate Engineer- TST,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),75504,86830
Civil Engineer Intern,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51413,62260
DIRECTOR OF PUBLIC-PRIVATE PARTNERSHIPS,NYC HOUSING AUTHORITY,Manager,80931,208826
OFFICE MANAGER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,77124
AUDIT STAFF,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56013,64415
Fleet Business Associate (Part-Time)- Bureau of Facilities Planning and Administrative Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),23.0706,28.65
Agency Attorney 03,NYC HOUSING AUTHORITY,Experienced (non-manager),91563,91563
Energy Project Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Administrative Support for the Division of Special Enforcement â  Anti-Harassment Unit (DSE-AHU),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Bridge Inspector,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),85463,118733
Program Coordinator- Low and Zero Emission Vehicle Programs,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Plumber's Helper,NYC HOUSING AUTHORITY,Experienced (non-manager),36.95,36.95
Data Scientist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),59422,92758
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74650,109409
Input Operator,DISTRICT ATTORNEY KINGS COUNTY,Experienced (non-manager),48170,48170
Comptroller  Water Finance Authority,MUNICIPAL WATER FIN AUTHORITY,Executive,150000,208826
SENIOR TEAM SUPERVISOR (EHV),HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Assistant Commissioner,ADMIN FOR CHILDREN'S SVCS,Manager,80931,208826
Analyst  Economic Development- Project Development & Management,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Firewall Administrator,NYC POLICE PENSION FUND,Experienced (non-manager),93288,115000
Firewall Administrator,NYC POLICE PENSION FUND,Experienced (non-manager),93288,115000
Deputy Director for Clean Energy,DEPT OF ENVIRONMENT PROTECTION,Manager,130000,160000
Conversions Project Manager for the Division of Portfolio Management & Conversions,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),70000,77500
NRU Clinical Coordinator- Community Awareness- Action- Response & Engagement,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),66442,88000
PEOPLESOFT DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,120000
Criminalist IA (Histology) - per diem,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),28.3864,35.7745
MECHANICAL ENGINEERING INTERN,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),51413,62260
Resource Specialist,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),54100,83981
Director of Employee Services â Bureau Administrator,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Computer Associate,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51345,74762
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Records Associate (Per Diem),DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),131.1226,200.7739
ADMINISTRATIVE COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,89699
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Staff Counsel,CONSUMER AND WORKER PROTECTION,Experienced (non-manager),71423,82137
Media Services Technician,POLICE DEPARTMENT,Experienced (non-manager),42798,55908
MINORITY/ WOMEN BUSINESS ENTERPRISE (M/WBE) LIAISON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),38333,63794
Personnel Analyst,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57394,66003
Studio Director-  Mayorâs Office for Economic Opportunity,MAYORS OFFICE OF CONTRACT SVCS,Manager,100000,132000
Community Mental Health Monitor- Bureau of Mental Health/Assisted Outpatient Treatment Program,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51079,64000
MS4 Program Manager,DEPT OF ENVIRONMENT PROTECTION,Manager,84468,111003
Processing Archivist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),61469,87863
COURIER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),39963,49927
Media Services Technician - IT Division,LAW DEPARTMENT,Entry-Level,42798,49218
Call Center Director,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),67422,75000
Assistant Corporation Counsel- Special Federal Litigation,LAW DEPARTMENT,Experienced (non-manager),75121,133040
Project Manager / GIS Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,111003
COMMUNITY ENGAGEMENT MANAGER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),64749,90000
Gardener,DEPT OF PARKS & RECREATION,Entry-Level,20.7902,23.91
Gardener,DEPT OF PARKS & RECREATION,Entry-Level,20.7902,23.91
ASSISTANT DESIGN ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Data Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84451,113550
Asset Reliability Specialist,DEPT OF ENVIRONMENT PROTECTION,Manager,74650,109409
Procedural Justice Coordinator,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),59116,67983
WATERSHED MAINTAINER,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,41033,60017
Calendar Unit Clerk,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),47418,60000
CRM Developer - IT Division - Application Services,LAW DEPARTMENT,Experienced (non-manager),110000,110000
Seasonal City Park Worker,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,18.1686,20.8937
Assistant Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51413,62260
Systems Engineer/DBA,DEPARTMENT OF INVESTIGATION,Manager,58700,115000
Senior Investigative Attorney,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),75000,75000
ASSOCIATE DEPUTY COMMISSIONER,DEPARTMENT OF TRANSPORTATION,Manager,80931,208826
Respectful Maternal Care Analyst,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70611,105138
Power BI Administrator,DEPARTMENT OF CORRECTION,Manager,75000,145000
ELIGIBILITY WORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40062,46071
ASSISTANT CIVIL ENGINEER,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
CDI-FWS Administrative Specialist- Bureau of Brooklyn Neighborhood Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53057,65000
Deputy Chief Detective Investigator,DISTRICT ATTORNEY RICHMOND COU,Experienced (non-manager),89632,89632
Patient Engagement Program (PEP) Data Specialist- Bureau of Equitable Health Systems,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,86830
Automation Testing Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),90000,100000
Automation Testing Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),90000,100000
Associate Project Manager III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
DESIGN ENGINEER,DEPARTMENT OF TRANSPORTATION,Entry-Level,51413,62260
